Comparisons    Time
575            1.00
428            1.00
565            1.00
275            1.00
264            0.00
835            1.00
808            2.00
603            1.00
427            1.00
129            1.00
440            1.00
675            1.00
587            1.00
680            2.00
377            1.00
597            1.00
290            0.00
315            1.00
570            2.00
535            1.00
759            1.00
1040            2.00
899            2.00
791            2.00
664            1.00
485            1.00
858            2.00
989            2.00
803            2.00
497            1.00
968            2.00
455            1.00
269            0.00
268            1.00
448            1.00
784            2.00
736            2.00
423            1.00
520            1.00
1045            2.00
140            0.00
491            1.00
556            1.00
611            1.00
1042            2.00
521            1.00
585            1.00
840            2.00
949            2.00
489            1.00
648            1.00
908            2.00
598            1.00
140            0.00
280            1.00
613            1.00
602            2.00
327            1.00
485            1.00
298            1.00
293            1.00
158            1.00
950            2.00
1040            2.00
341            1.00
271            1.00
538            1.00
146            0.00
375            1.00
353            0.00
507            1.00
840            1.00
322            1.00
663            1.00
335            1.00
587            1.00
586            1.00
894            2.00
867            2.00
804            3.00
518            1.00
480            1.00
481            1.00
835            2.00
740            2.00
1016            2.00
363            1.00
673            1.00
826            2.00
293            0.00
152            1.00
396            1.00
1042            2.00
577            1.00
898            2.00
576            1.00
1016            2.00
905            1.00
591            1.00
163            0.00
461            1.00
470            1.00
998            2.00
669            1.00
698            1.00
656            2.00
335            1.00
414            1.00
548            1.00
254            0.00
585            2.00
584            1.00
177            1.00
356            0.00
664            1.00
947            2.00
419            1.00
133            0.00
946            2.00
904            1.00
858            2.00
493            1.00
557            2.00
197            0.00
145            1.00
779            1.00
1047            2.00
235            0.00
422            1.00
574            1.00
487            1.00
286            1.00
780            1.00
156            0.00
453            1.00
224            0.00
705            1.00
139            1.00
575            1.00
357            1.00
886            2.00
200            1.00
846            2.00
859            1.00
520            1.00
998            2.00
655            2.00
497            1.00
487            1.00
310            1.00
559            1.00
1035            2.00
155            0.00
237            1.00
441            1.00
336            1.00
323            1.00
262            0.00
839            1.00
912            2.00
971            2.00
618            1.00
383            1.00
912            2.00
529            1.00
758            1.00
624            1.00
469            1.00
228            0.00
759            2.00
225            1.00
922            1.00
650            1.00
418            1.00
902            2.00
136            1.00
313            1.00
248            1.00
209            1.00
482            1.00
417            1.00
805            2.00
947            1.00
990            2.00
946            2.00
954            2.00
216            0.00
363            1.00
862            1.00
919            1.00
811            2.00
443            1.00
297            0.00
149            0.00
937            2.00
799            2.00
883            2.00
743            1.00
687            2.00
938            2.00
549            1.00
541            1.00
500            1.00
470            1.00
215            1.00
436            1.00
753            2.00
255            0.00
353            0.00
584            1.00
484            2.00
475            1.00
683            1.00
923            3.00
781            1.00
461            1.00
189            1.00
322            1.00
239            1.00
946            3.00
528            1.00
838            2.00
334            2.00
234            1.00
593            1.00
960            4.00
523            1.00
971            2.00
737            3.00
984            2.00
973            2.00
725            2.00
172            1.00
424            1.00
252            1.00
574            2.00
564            2.00
313            0.00
1002            3.00
295            0.00
803            2.00
128            0.00
617            2.00
255            1.00
614            3.00
382            1.00
209            1.00
593            2.00
145            1.00
518            1.00
841            2.00
804            2.00
305            0.00
987            3.00
165            1.00
848            2.00
834            3.00
905            3.00
505            2.00
865            2.00
768            3.00
830            3.00
1007            3.00
213            0.00
541            2.00
490            2.00
934            1.00
738            2.00
325            1.00
386            1.00
843            3.00
664            2.00
410            2.00
307            1.00
744            2.00
795            3.00
564            2.00
955            2.00
467            1.00
585            2.00
980            1.00
581            2.00
137            1.00
1015            2.00
154            1.00
331            1.00
565            2.00
864            2.00
448            1.00
274            1.00
880            2.00
616            1.00
377            2.00
855            3.00
957            2.00
842            1.00
243            1.00
845            3.00
319            1.00
393            1.00
211            1.00
336            1.00
319            1.00
737            2.00
366            1.00
213            1.00
511            1.00
519            2.00
371            1.00
872            2.00
215            1.00
279            1.00
1025            2.00
1004            4.00
222            1.00
509            2.00
725            2.00
978            3.00
855            3.00
991            2.00
804            2.00
541            2.00
287            1.00
890            2.00
243            0.00
935            4.00
970            3.00
218            0.00
930            1.00
446            1.00
403            2.00
741            2.00
297            0.00
287            1.00
229            1.00
964            3.00
952            2.00
1027            4.00
779            3.00
896            2.00
974            1.00
787            3.00
319            1.00
866            2.00
136            0.00
270            1.00
703            3.00
829            1.00
1035            3.00
610            2.00
713            1.00
142            0.00
962            3.00
979            3.00
934            2.00
664            1.00
400            2.00
461            1.00
822            1.00
439            1.00
324            2.00
460            2.00
930            3.00
228            0.00
285            1.00
203            1.00
997            3.00
256            0.00
167            1.00
140            1.00
666            1.00
374            1.00
867            3.00
407            2.00
758            3.00
730            2.00
629            2.00
496            2.00
205            0.00
440            1.00
